text,label
Ang deadline ng disenyo ng UI ay bago matapos ang araw.,information_item
Please upload the proposal by tomorrow.,action_item
Maayos ang takbo ng iskedyul.,information_item
Ang spreadsheet ay handa na na.,information_item
Feedback on the assignment is uploaded.,information_item
Nakuha na namin ang sistema.,information_item
Kindly revise the spreadsheet for the team.,action_item
Ang software ay maayos na na.,information_item
The meeting regarding the API is over.,information_item
Available na yung software sa portal.,information_item
Ensure the test cases is on hold next week.,action_item
Available na yung documentation sa portal.,information_item
Kailangang pagbutihin ang modyul bago mag-ngayon din.,action_item
Make sure to draft the meeting summary before class.,action_item
Mainam ang kinalabasan ng kodigo.,information_item
Please verify the project by 5 PM.,action_item
The invoice has been finalized.,information_item
Pa-tapusin naman ng buod ng pulong please.,action_item
Pa-pagbutihin naman ng modyul please.,action_item
Siguraduhin na naipadala na ang kodigo bago ang pasahan.,action_item
May update na sa slides.,information_item
Make sure to verify the schedule before class.,action_item
I need you to download the spreadsheet immediately.,action_item
"Pakisuyo, suriin ang slides bago ang deadline.",action_item
Kindly test yung API natin.,action_item
The results has been prepared.,information_item
Maayos ang takbo ng kagamitan.,information_item
Paki-distribute yung proposal for me.,action_item
We have updated the server logs.,information_item
Kindly prepare the budget for the team.,action_item
Can you fix the contract?,action_item
Medyo buggy yung results natin.,information_item
"Okay na yung slides, no issues.",information_item
Paki-fix yung assignment for me.,action_item
Paki-ayos ang kodigo para sa presentation.,action_item
Nakuha na namin ang dokumento.,information_item
Please submit the code before the deadline.,action_item
Naka-pending na yung UI design.,information_item
I-ayusin mo na yung invoice.,action_item
"Okay na yung documentation, no issues.",information_item
The meeting regarding the server logs is over.,information_item
Tapos na ang software.,information_item
I-i-iskedyul mo na yung modyul.,action_item
Please finalize the module as soon as possible.,action_item
Naka-sent na yung module.,information_item
Need nating i-schedule yung client email ASAP.,action_item
Your task is to optimize the UI design by the end of the week.,action_item
The milestone is now on hold.,information_item
Tapos na i-validate yung slides kanina.,information_item
The contract has been running.,information_item
Make sure to organize the API before class.,action_item
Tapos na i-review yung documentation kanina.,information_item
Pa-beripikahin naman ng database please.,action_item
Nakuha na namin ang kontrata.,information_item
Ang database ay handa na na.,information_item
Please verify the results by the end of the day.,action_item
