text,label
The user persona is currently processed.,information_item
Can you help re-evaluate the essay draft?,action_item
I need you to disseminate the essay draft before our next sync.,action_item
We need to escalate the breakout session to move forward.,action_item
The team verified the screen resolution earlier today.,information_item
Please validate the chat history by our next meeting.,action_item
No issues found in the NDA.,information_item
Kailangang ma-suriin yung legal compliance bago matapos ang shift.,action_item
Please escalate the security audit by next Monday.,action_item
The team resolved the chat history earlier today.,information_item
Kailangang ma-ayusin yung periodical exam bago matapos ang shift.,action_item
"Maayos naman yung HR policy, walang problema.",information_item
Can you help deploy the bandwidth limit?,action_item
No issues found in the bandwidth limit.,information_item
I-i-post mo na yung customer journey map ASAP.,action_item
Kailangang ma-suriin yung lab equipment bago matapos ang shift.,action_item
We have noted the course syllabus for now.,information_item
Can you help publish the thesis defense?,action_item
Kailangang ma-i-save yung onboarding manual bago matapos ang shift.,action_item
Naka-postponed na yung bandwidth limit sa system.,information_item
"Maayos naman yung HR policy, walang problema.",information_item
We have completed the virtual background for now.,information_item
Paki-itago naman yung waiting room access natin the deadline.,action_item
Your priority is to broadcast the marketing funnel.,action_item
We talked about the chat history during the meeting.,information_item
I need you to publish the chat history before our next sync.,action_item
Make sure the essay draft is ongoing by the end of the week.,action_item
We need to archive the HR policy to move forward.,action_item
Please distribute the course syllabus by tonight.,action_item
I-i-apply mo na yung algebraic expression ASAP.,action_item
The student handbook is currently noted.,information_item
Your priority is to finalize the poll results.,action_item
We talked about the NDA during the meeting.,information_item
The bandwidth limit is currently cancelled.,information_item
No issues found in the onboarding manual.,information_item
Can you help broadcast the participant list?,action_item
Please implement the periodical exam by the deadline.,action_item
I need you to finalize the NDA before our next sync.,action_item
Make sure the virtual background is cancelled by 5:00 PM.,action_item
Please archive the periodical exam by next Monday.,action_item
Tapos na naming pag-usapan yung customer journey map.,information_item
Naka-acknowledged na yung NDA sa system.,information_item
Your priority is to resolve the audio latency.,action_item
"Maayos naman yung lecture notes, walang problema.",information_item
I-ayusin mo na yung scholarship application ASAP.,action_item
Naka-resolved na yung virtual background sa system.,information_item
Your priority is to validate the chat history.,action_item
The team verified the virtual background earlier today.,information_item
