text,label
The research topic was approved during the meeting.,information_item
The coordinator told the team to complete the testing results by the end of the week for the project.,action_item
The development phase will begin next week.,information_item
The dataset was uploaded to the shared drive.,information_item
The team leader requested to make sure to analyze the assignment by next meeting.,action_item
The deadline for the assignment is next Friday.,information_item
The coordinator told the team to ensure you summarize the API documentation by next meeting.,action_item
The project manager instructed to make sure to finalize the testing results by Monday.,action_item
The professor asked to ensure you collect the assignment by tomorrow.,action_item
The team leader requested to prepare the code module before class.,action_item
Please make sure to validate the project report by tonight.,action_item
The presentation schedule was announced today.,information_item
The team leader requested to revise the system design before the presentation.,action_item
The deadline for the assignment is next Friday.,information_item
The supervisor asked to refactor the research paper by the end of the month to ensure progress.,action_item
Kindly schedule the progress report by the end of the day.,action_item
Our senior advised to upload the experiment results by the end of the week to ensure progress.,action_item
The professor provided guidance for the methodology section.,information_item
The discussion focused on the testing strategy.,information_item
The project manager instructed to review the survey results before the presentation for the project.,action_item
The coordinator told the team to ensure you schedule the project report this week.,action_item
The meeting concluded that we should finalize the deployment script before the presentation for the project.,action_item
The supervisor asked to make sure to plan the task list by the end of the month.,action_item
The project manager instructed to make sure to present the bug fix by next meeting.,action_item
The supervisor asked to make sure to update the progress report this week.,action_item
The deadline for the assignment is next Friday.,information_item
The professor asked to confirm the task list before submission day to ensure progress.,action_item
Please make sure to deliver the dataset by next meeting.,action_item
Our senior advised to ensure you resolve the weekly report before the presentation.,action_item
The instructor reminded us to ensure you implement the progress report before class.,action_item
The presentation schedule was announced today.,information_item
The discussion focused on the testing strategy.,information_item
The team discussed the new system architecture.,information_item
The team analyzed the feedback from users.,information_item
The professor asked to collect the testing results by Monday for the project.,action_item
The project manager instructed to coordinate the assignment by the end of the month to ensure progress.,action_item
The team leader requested to update the presentation slides before the presentation for the project.,action_item
The project proposal was reviewed by the panel.,information_item
The discussion focused on the testing strategy.,information_item
The project proposal was reviewed by the panel.,information_item
The meeting concluded that we should submit the dataset by Monday to ensure progress.,action_item
The team analyzed the feedback from users.,information_item
The supervisor asked to check the bug fix before Friday to ensure progress.,action_item
The professor asked to ensure you investigate the dataset before the presentation.,action_item
The discussion focused on the testing strategy.,information_item
The instructor reminded us to ensure you deploy the weekly report by next meeting.,action_item
The project proposal was reviewed by the panel.,information_item
Kindly gather the user feedback report before the presentation to ensure progress.,action_item
The discussion focused on the testing strategy.,information_item
The instructor reminded us to ensure you update the code module before the deadline.,action_item
The presentation schedule was announced today.,information_item
The development phase will begin next week.,information_item
The supervisor asked to make sure to implement the project report before the presentation.,action_item
The team discussed the new system architecture.,information_item
Please collect the code module by next meeting.,action_item
The meeting concluded that we should ensure you coordinate the UI prototype before submission day.,action_item
Kindly ensure you document the deployment script before the deadline.,action_item
The instructor reminded us to test the database schema by next meeting to ensure progress.,action_item
The project manager instructed to gather the deployment script before the deadline for the project.,action_item
The team leader requested to resolve the code module by next meeting for the project.,action_item
The instructor reminded us to ensure you investigate the presentation slides before the presentation.,action_item
The team leader requested to prepare the project report by tonight.,action_item
The professor asked to deliver the experiment results by next meeting.,action_item
The dataset was uploaded to the shared drive.,information_item
The project manager instructed to upload the experiment results before Friday.,action_item
The team talked about possible improvements for the application.,information_item
The coordinator told the team to revise the task list by Monday.,action_item
The meeting concluded that we should prepare the testing results by tomorrow for the project.,action_item
The meeting started at 9 AM.,information_item
The team leader requested to ensure you analyze the meeting notes by Monday.,action_item
The group meeting lasted for two hours.,information_item
Kindly upload the code module by Monday.,action_item
The supervisor asked to finish the UI prototype by the end of the month to ensure progress.,action_item
The project manager instructed to design the assignment before the deadline to ensure progress.,action_item
Kindly ensure you deploy the documentation by Monday.,action_item
Please ensure you deploy the project proposal by tonight.,action_item
The professor asked to ensure you check the meeting summary by next meeting.,action_item
Our senior advised to ensure you draft the final thesis chapter before class.,action_item
The coordinator told the team to organize the weekly report this week.,action_item
The dataset was uploaded to the shared drive.,information_item
The coordinator told the team to make sure to plan the project proposal by tomorrow.,action_item
The professor provided guidance for the methodology section.,information_item
The project proposal was reviewed by the panel.,information_item
The team discussed the new system architecture.,information_item
The system update was completed successfully.,information_item
The group meeting lasted for two hours.,information_item
The professor asked to update the database schema this week to ensure progress.,action_item
The dataset was uploaded to the shared drive.,information_item
The presentation schedule was announced today.,information_item
The professor provided guidance for the methodology section.,information_item
The professor explained the requirements for the project.,information_item
The professor explained the requirements for the project.,information_item
The team discussed the new system architecture.,information_item
The discussion focused on the testing strategy.,information_item
The professor explained the requirements for the project.,information_item
The project proposal was reviewed by the panel.,information_item
The discussion focused on the testing strategy.,information_item
The supervisor asked to ensure you gather the task list by next meeting.,action_item
The professor explained the requirements for the project.,information_item
Our senior advised to analyze the testing results by next meeting to ensure progress.,action_item
The supervisor asked to complete the bug fix by the end of the day for the project.,action_item
The team discussed the new system architecture.,information_item
Please schedule the documentation by Monday for the project.,action_item
