text,label
The meeting will be held tomorrow.,information_item
The system update was successful.,information_item
Your task is to design the progress report by the end of the day.,action_item
You need to complete the final thesis chapter by Monday.,action_item
The professor asked you to analyze the bug fix before Friday.,action_item
The system update was successful.,information_item
The team completed the first phase of the project.,information_item
Your task is to validate the progress report by tomorrow.,action_item
The system update was successful.,information_item
The meeting will be held tomorrow.,information_item
The team completed the first phase of the project.,information_item
The deadline for the assignment is next week.,information_item
The team lead instructed you to improve the documentation by the end of the day.,action_item
The dataset has already been uploaded to the server.,information_item
You need to finish the presentation slides before class.,action_item
The meeting will be held tomorrow.,information_item
The group meeting lasted two hours.,information_item
The system update was successful.,information_item
Please ensure you draft the bug fix by Monday.,action_item
The professor discussed the project requirements.,information_item
You need to implement the experiment results by tonight.,action_item
The professor discussed the project requirements.,information_item
Your task is to submit the code module before the deadline.,action_item
Your task is to deploy the bug fix before the next meeting.,action_item
The team completed the first phase of the project.,information_item
The professor asked you to check the meeting notes this week.,action_item
The professor asked you to confirm the assignment before class.,action_item
The deadline for the assignment is next week.,information_item
Your task is to document the weekly report before class.,action_item
Remember to deploy the assignment before Friday.,action_item
The system update was successful.,information_item
Our senior requested that you validate the UI prototype by tomorrow.,action_item
Make sure to deploy the database schema before the next meeting.,action_item
The dataset has already been uploaded to the server.,information_item
The team lead instructed you to compile the code module by tomorrow.,action_item
You need to arrange the project proposal by Monday.,action_item
You need to upload the presentation slides by tomorrow.,action_item
The team completed the first phase of the project.,information_item
Kindly analyze the survey results before Friday.,action_item
The project proposal was reviewed during the meeting.,information_item
Our senior requested that you collect the progress report by the end of the day.,action_item
Your task is to document the project report by tonight.,action_item
The system update was successful.,information_item
Kindly implement the project proposal by tonight.,action_item
The deadline for the assignment is next week.,information_item
The deadline for the assignment is next week.,information_item
You need to prepare the research paper by the end of the day.,action_item
The research topic was approved by the professor.,information_item
Remember to send the survey results before the next meeting.,action_item
Please ensure you finish the system design this week.,action_item
The deadline for the assignment is next week.,information_item
You need to complete the meeting notes by Monday.,action_item
Remember to organize the code module this week.,action_item
You need to improve the progress report by the end of the week.,action_item
Your task is to coordinate the API documentation by the end of the week.,action_item
The deadline for the assignment is next week.,information_item
Make sure to complete the project report before Friday.,action_item
The system update was successful.,information_item
The group meeting lasted two hours.,information_item
The group meeting lasted two hours.,information_item
The project proposal was reviewed during the meeting.,information_item
The deadline for the assignment is next week.,information_item
Please ensure you draft the experiment results by tonight.,action_item
The research topic was approved by the professor.,information_item
Please ensure you update the assignment by tomorrow.,action_item
The group meeting lasted two hours.,information_item
Make sure to upload the system design by tomorrow.,action_item
Your task is to submit the database schema this week.,action_item
The deadline for the assignment is next week.,information_item
The research topic was approved by the professor.,information_item
The professor discussed the project requirements.,information_item
The research topic was approved by the professor.,information_item
The deadline for the assignment is next week.,information_item
Make sure to revise the UI prototype before the deadline.,action_item
Our senior requested that you update the assignment this week.,action_item
Your task is to test the code module by Monday.,action_item
The class presentation schedule was announced today.,information_item
Please confirm the weekly report by the end of the day.,action_item
Please ensure you draft the database schema by Monday.,action_item
