text,label
May bug sa yung Email natin.,0
Nag-crash yung yung Database natin.,0
Nag-crash yung yung Login page natin. (Note: 3754),0
I-modify naman nung Staging environment bukas. (Task #6672),1
"Regarding the User profile, on-going pa.",0
"Sabi ni team, nag-crash yung yung User profile.",0
"Regarding the Documentation, mabagal yung.",0
"Regarding the Framework, on-going pa. (Note: 3035)",0
Okay naman yung Database natin.,0
I-verify naman nung Report ASAP. (Task #3619),1
Stable na yung yung Website natin.,0
Tapos na yung API natin.,0
"Sabi ni team, waiting sa yung Frontend.",0
"Sabi ni team, nag-crash yung yung Slack channel.",0
"Regarding the Client feedback, okay naman.",0
"Regarding the Server, okay naman.",0
May error sa yung UI natin. (Note: 3537),0
"Sabi ni team, may error sa yung Backend. (Note: 4360)",0
"Sabi ni team, okay naman yung Login page.",0
"Regarding the Codebase, waiting sa.",0
"Regarding the Subscription, nag-crash yung.",0
"Sabi ni team, waiting sa yung Budget proposal.",0
Waiting sa yung Production natin.,0
"Regarding the Codebase, mabagal yung.",0
Kailangan i-update yung yung Payment gateway natin.,0
"Regarding the Subscription, na-upload na.",0
Tapos na yung Analytics natin. (Note: 1838),0
"Regarding the Documentation, may error sa.",0
"Sabi ni team, naka-ready na yung Analytics.",0
Waiting sa yung Payment gateway natin.,0
Please check the UI before EOD. (Task #3555),1
"Sabi ni team, mabagal yung yung Client feedback.",0
Pa-ayos naman nung Table before EOD. (Task #4719),1
"Regarding the Codebase, naka-ready na.",0
Kailangan i-update yung yung Login page natin.,0
"Regarding the Pull request, on-going pa.",0
Mabagal yung yung Testing natin.,0
Na-upload na yung Table natin.,0
"Regarding the Production, on-going pa.",0
Na-upload na yung Mobile app natin.,0
"Sabi ni team, stable na yung yung Marketing plan.",0
Mabagal yung yung Budget proposal natin. (Note: 3020),0
"Regarding the Cloud storage, okay naman.",0
Mabagal yung yung Production natin.,0
"Sabi ni team, tapos na yung Login page.",0
Fixed na yung Slack channel natin. (Note: 3662),0
"Sabi ni team, nag-crash yung yung Frontend.",0
Waiting sa yung User profile natin.,0
"Sabi ni team, kailangan i-update yung yung Budget proposal.",0
I-schedule naman nung Password reset tomorrow morning. (Task #5691),1
"Sabi ni team, fixed na yung Graph. (Note: 3476)",0
"Regarding the Sprint goal, may error sa.",0
Nag-crash yung yung Security patches natin.,0
Stable na yung yung Table natin.,0
Mabagal yung yung Codebase natin.,0
Kailangan i-update yung yung Codebase natin.,0
Nag-crash yung yung Report natin.,0
"Regarding the Password reset, okay naman. (Note: 2109)",0
Kailangan i-update yung yung Migration natin.,0
May bug sa yung Report natin.,0
"Sabi ni team, for review pa yung Frontend.",0
I-verify naman nung Backend mamayang hapon. (Task #1081),1
"Regarding the Deployment, kailangan i-update yung. (Note: 1973)",0
"Regarding the API, tapos na.",0
"Regarding the Slack channel, for review pa. (Note: 1260)",0
"Sabi ni team, okay naman yung Budget proposal.",0
"Regarding the API, kailangan i-update yung. (Note: 3685)",0
"Regarding the Frontend, fixed na.",0
"Sabi ni team, may error sa yung Sprint goal.",0
Na-upload na yung API natin.,0
"Sabi ni team, fixed na yung Sprint goal.",0
"Regarding the Design system, fixed na.",0
Waiting sa yung Framework natin.,0
"Regarding the Client feedback, on-going pa.",0
I-prepare naman nung Sprint goal next week. (Task #1131),1
"Sabi ni team, for review pa yung Jira ticket.",0
"Sabi ni team, tapos na yung Marketing plan.",0
"Regarding the Graph, on-going pa.",0
"Regarding the Search function, mabagal yung.",0
"Regarding the Mobile app, okay naman.",0
May bug sa yung Table natin.,0
"Regarding the API, fixed na.",0
Tapos na yung Email natin.,0
"Regarding the Analytics, naka-ready na.",0
"Regarding the Production, nag-crash yung.",0
"Sabi ni team, may bug sa yung Client feedback.",0
"Sabi ni team, na-upload na yung Table.",0
"Sabi ni team, okay naman yung Sprint goal.",0
"Sabi ni team, fixed na yung Deployment. (Note: 1513)",0
"Regarding the Codebase, stable na yung.",0
"Sabi ni team, fixed na yung API. (Note: 3219)",0
"Regarding the Mobile app, may error sa.",0
"Regarding the Security patches, mabagal yung. (Note: 3712)",0
"Regarding the Server, naka-ready na.",0
