text,label
Paki-email naman yung slides sa akin later.,action_item
I-check mo yung bugs sa dashboard please.,action_item
Kindly inform the group chat about the changes.,action_item
Pa-follow up yung status ng hardware delivery.,action_item
I-note niyo yung mga instructions ni Prof.,action_item
Please finalize the UI design by tomorrow.,action_item
Paki-upload na yung files sa shared drive.,action_item
I-double check natin yung results bago isubmit.,action_item
Pa-schedule naman ng follow-up meeting for Friday.,action_item
Kindly update the Trello board with your tasks.,action_item
Wala pa kaming natatanggap na feedback from them.,information_item
Naka-set na yung environment for the demo.,information_item
Medyo confusing yung process na binigay nila.,information_item
Ang ganda ng results ng ating simulation.,information_item
Nag-crash yung app during the testing phase.,information_item
Available na yung link sa portal para sa lahat.,information_item
"Okay naman yung connection, walang lag.",information_item
Maraming corrections si Prof sa draft natin.,information_item
Lunch break muna tayo bago mag-resume.,information_item
"Wait lang, hindi pa naglo-load yung video.",information_item
