text,label
"Okay . Um ,",information_item
"the u the user f the the u user interface should be very very cute , very very g um",information_item
this is our second meeting .,information_item
I-deploy natin yung fix sa staging later.,action_item
Basahin niyo yung Chapter 5 ng textbook.,action_item
Pa-send naman ng updated database schema sa email ko.,action_item
Gagawa ako ng summary ng meeting na ito.,action_item
I-merge nyo na yung feature branch sa main.,action_item
Pa-send naman ng updated database schema sa email ko.,action_item
"Technical leads, you need to finalize the pipeline architecture documentation.",action_item
"First, please review the Q2 project milestones tonight.",action_item
So maybe we start with you ?,information_item
I want to see the diagram of API endpoints in our next sync.,action_item
Pakisubmit yung case study draft sa Friday at 5 sharp.,action_item
if you want to present your prototype go ahead .,information_item
I-ready niyo yung report for the stakeholders.,action_item
"So . Okay ,",information_item
Let's see what we can find here .,information_item
Basahin niyo yung Chapter 5 ng textbook.,action_item
Basahin niyo yung Chapter 5 ng textbook.,action_item
Could could I see the scroll bar as uh as as a sort of shortcut ?,information_item
I want to see the diagram of API endpoints in our next sync.,action_item
"First, please review the Q2 project milestones tonight.",action_item
Ayusin niyo yung bugs sa login page.,action_item
"Um and I um like to show you the agenda for the meeting ,",information_item
But other users who are new to this device need something like that .,information_item
Okay . I will see .,information_item
Pakisubmit yung case study draft sa Friday at 5 sharp.,action_item
"Yeah , for favourite animals .",information_item
I think so .,information_item
"Technical leads, you need to finalize the pipeline architecture documentation.",action_item
shall we wait ?,information_item
or how about I just click ?,information_item
Gagawa ako ng summary ng meeting na ito.,action_item
I-ready niyo yung report for the stakeholders.,action_item
"First, please review the Q2 project milestones tonight.",action_item
Yeah I'd to just put on my microphone here and I'll be right with you .,information_item
I-ready niyo yung report for the stakeholders.,action_item
Um or at l its functionality would have been of limited use .,information_item
I-check nyo kung realistic pa ba yung dates na nakalagay dun.,action_item
Pa-send naman ng updated database schema sa email ko.,action_item
"No , I didn't get it .",information_item
I-check nyo kung realistic pa ba yung dates na nakalagay dun.,action_item
which means I will make uh minutes,information_item
"Yeah , of course .",information_item
Sorry about the small delay .,information_item
"The last one is the most important one , is it ?",information_item
This is a meeting on functional design .,information_item
I want to see the diagram of API endpoints in our next sync.,action_item
"So are we going for the w are we going for the simple one , are we ?",information_item
I want to see the diagram of API endpoints in our next sync.,action_item
Is that someone's ?,information_item
"Technical leads, you need to finalize the pipeline architecture documentation.",action_item
I like the fact that on both of them the keys play such a prominent role .,information_item
I want to see the diagram of API endpoints in our next sync.,action_item
I-check nyo kung realistic pa ba yung dates na nakalagay dun.,action_item
do you wanna start ?,information_item
I I'm User Interface Manager .,information_item
I guess I have to change the pen,information_item
"Um , we already got n through opening , and partially through acquaintance .",information_item
we we we talked about the the individual roles that we each had as well .,information_item
and the other one is st,information_item
Check check check check .,action_item
Pa-send naman ng updated database schema sa email ko.,action_item
Ayusin niyo yung bugs sa login page.,action_item
"Roo , welcome back .",information_item
Pa-send naman ng updated database schema sa email ko.,action_item
Okay so we can go to the slides .,information_item
Pa-send naman ng updated database schema sa email ko.,action_item
And I'm Andrew and I'm uh our marketing,information_item
"Do you want the mouse ,",information_item
"Course , we'll have to go into a bit more um detail than that ,",information_item
Ayusin niyo yung bugs sa login page.,action_item
as I did of the previous meeting .,information_item
First we have to make a functional design .,information_item
it's David Jordan . Course .,information_item
"I'll be taking minutes on this one ,",information_item
take it away .,information_item
And I can start if you want . Mm .,information_item
Pakisubmit yung case study draft sa Friday at 5 sharp.,action_item
"Um , and um ,",information_item
I-deploy natin yung fix sa staging later.,action_item
Pa-send naman ng updated database schema sa email ko.,action_item
"Um , I'm Abigail Claflin .",information_item
I-merge nyo na yung feature branch sa main.,action_item
Anything I've missed ?,information_item
I-ready niyo yung report for the stakeholders.,action_item
Check check check check .,action_item
And your role is ?,information_item
Conceptual design meeting .,information_item
G good morning .,information_item
I-merge nyo na yung feature branch sa main.,action_item
"Hey , Project Manager .",information_item
Pakisubmit yung case study draft sa Friday at 5 sharp.,action_item
"Yeah , that's a good plan .",information_item
Pakisubmit yung case study draft sa Friday at 5 sharp.,action_item
"Technical leads, you need to finalize the pipeline architecture documentation.",action_item
Gagawa ako ng summary ng meeting na ito.,action_item
