sentence,label
"Kanina, pinag-usapan natin yung system.",0
"Kanina, pinag-usapan natin yung minutes of meeting.",0
The meeting concluded that we should deploy the weekly report by tomorrow for the project.,1
The team discussed the new system architecture.,0
"Pakisuyo po, i-email yung budget mamaya muna.",1
The professor asked to test the research paper before the deadline.,1
"Kanina, pinag-usapan natin yung database.",0
Please tawagan ang file natin ngayong hapon.,1
Regarding sa ui design ay na-finalize na natin.,0
Ang prototype ay ay okay na.,0
Kindly plan the weekly report by tonight to ensure progress.,1
Kindly ensure you improve the final thesis chapter before class.,1
"Sige, ako na bahala sa file mamaya.",1
The team analyzed the feedback from users.,0
Ang prototype ay is currently being processed.,0
Ongoing pa yung schedule ay na-finalize na natin.,0
The team talked about possible improvements for the application.,0
"Kanina, pinag-usapan natin yung feedback.",0
Kindly i-save yung feedback sa Monday muna.,1
Please i-save ang schedule natin as soon as possible.,1
Paki-i-update yung minutes of meeting sa Monday muna.,1
The project proposal was reviewed by the panel.,0
Please test the testing plan before Friday for the project.,1
The system update was completed successfully.,0
Our senior advised to complete the documentation by the end of the week for the project.,1
The system update was completed successfully.,0
The professor asked to deploy the code module by Monday.,1
The instructor reminded us to deploy the meeting notes by the end of the week.,1
The supervisor asked to document the dataset this week to ensure progress.,1
Kindly test the project proposal before the deadline to ensure progress.,1
"Kanina, pinag-usapan natin yung database.",0
Ongoing pa yung ui design ay tapos na po.,0
"Kanina, pinag-usapan natin yung document.",0
"Sige, ako na bahala sa requirements bukas.",1
Ang system ay is good to go.,0
"Sige, ako na bahala sa ui design bukas.",1
The dataset was uploaded to the shared drive.,0
The professor provided guidance for the methodology section.,0
Ongoing pa yung prototype is currently being processed.,0
The research topic was approved during the meeting.,0
The instructor reminded us to schedule the project report by next meeting to ensure progress.,1
The project manager instructed to ensure you document the dataset by next meeting.,1
"Sige, ako na bahala sa module before Friday.",1
"Kanina, pinag-usapan natin yung ui design.",0
Ang slides ay is good to go.,0
The professor explained the requirements for the project.,0
The team discussed the new system architecture.,0
The project proposal was reviewed by the panel.,0
Please i-upload ang link natin ngayong hapon.,1
The project manager instructed to investigate the presentation slides by Monday for the project.,1
"Pakisuyo po, i-download ang api natin sa susunod na meeting.",1
"Sige, ako na bahala sa prototype next week.",1
Paki-i-download ang slides natin mamaya.,1
"Sige, ako na bahala sa testing results bukas.",1
The project manager instructed to summarize the weekly report by the end of the month for the project.,1
The group meeting lasted for two hours.,0
Ang feedback ay ay tapos na po.,0
Ang presentation ay is currently being processed.,0
The team leader requested to ensure you send the project proposal by Monday.,1
"Sige, ako na bahala sa prototype mamaya.",1
Kindly isulat ang slides natin sa Monday.,1
Paki-i-prepare ang database natin by the end of the day.,1
Ang document ay ay tapos na po.,0
The deadline for the assignment is next Friday.,0
"Kanina, pinag-usapan natin yung database.",0
Please upload the assignment before class for the project.,1
Our senior advised to ensure you finish the database schema by next meeting.,1
The group meeting lasted for two hours.,0
Kindly i-test ang prototype natin sa susunod na meeting.,1
Paki-ayusin yung database sa Monday po.,1
Kindly i-update ang api natin sa susunod na meeting.,1
The project proposal was reviewed by the panel.,0
The system update was completed successfully.,0
"Sige, ako na bahala sa file sa susunod na meeting.",1
The team talked about possible improvements for the application.,0
The discussion focused on the testing strategy.,0
The group meeting lasted for two hours.,0
The meeting started at 9 AM.,0
Ang file ay is currently being processed.,0
The supervisor asked to ensure you deploy the weekly report before submission day.,1
The team leader requested to collect the user feedback report by the end of the week.,1
Please isulat yung requirements next week po.,1
Please i-print ang presentation natin ngayong hapon.,1
The presentation schedule was announced today.,0
Please fix the database schema by the end of the day.,1
The development phase will begin next week.,0
"Kanina, pinag-usapan natin yung prototype.",0
Ang requirements ay ay na-finalize na natin.,0
Ang budget ay ay na-finalize na natin.,0
The group meeting lasted for two hours.,0
The deadline for the assignment is next Friday.,0
The meeting started at 9 AM.,0
"Kanina, pinag-usapan natin yung api.",0
Please ensure you summarize the final thesis chapter before class.,1
The development phase will begin next week.,0
The presentation schedule was announced today.,0
The supervisor asked to create the database schema by tonight.,1
Ang feedback ay is currently being processed.,0
"Kanina, pinag-usapan natin yung requirements.",0
The team talked about possible improvements for the application.,0
The dataset was uploaded to the shared drive.,0
Ongoing pa yung file is good to go.,0
Naka-upload na yung code is currently being processed.,0
The project manager instructed to improve the deployment script by the end of the week to ensure progress.,1
"Sige, paki-i-review yung system as soon as possible muna.",1
The team analyzed the feedback from users.,0
Please present the bug fix before the next meeting to ensure progress.,1
The team analyzed the feedback from users.,0
The discussion focused on the testing strategy.,0
Ang ui design ay ay tapos na po.,0
The supervisor asked to ensure you finish the research paper by tomorrow.,1
The project proposal was reviewed by the panel.,0
"Kanina, pinag-usapan natin yung budget.",0
The meeting started at 9 AM.,0
"Sige, ako na bahala sa testing results ngayong hapon.",1
Kindly i-record ang api natin bukas.,1
The presentation schedule was announced today.,0
"Kanina, pinag-usapan natin yung database.",0
"Kanina, pinag-usapan natin yung prototype.",0
Ang report ay is currently being processed.,0
The project proposal was reviewed by the panel.,0
Please i-upload yung file bukas po.,1
Please i-confirm ang ui design natin next week.,1
The coordinator told the team to make sure to submit the database schema before the next meeting.,1
Ang schedule ay is good to go.,0
The instructor reminded us to review the weekly report by the end of the week to ensure progress.,1
Ang prototype ay ay okay na.,0
Kindly i-download yung testing results sa Monday please.,1
Paki-i-prepare ang minutes of meeting natin sa susunod na meeting.,1
"Sige, paki-i-review yung api sa susunod na meeting agad.",1
About sa presentation ay okay na.,0
"Sige, ako na bahala sa link next week.",1
The meeting started at 9 AM.,0
Paki-i-confirm ang prototype natin before Friday.,1
The team leader requested to resolve the UI prototype before the deadline to ensure progress.,1
Our senior advised to ensure you review the database schema before submission day.,1
The project proposal was reviewed by the panel.,0
"Sige, paki-i-test yung ui design mamaya muna.",1
Paki-i-email ang database natin before Friday.,1
The team discussed the new system architecture.,0
Ang link ay is good to go.,0
Ang file ay ay na-finalize na natin.,0
Regarding sa code is good to go.,0
"Sige, ako na bahala sa prototype before Friday.",1
Na-check ko na yung link ay na-finalize na natin.,0
"Pakisuyo po, i-install yung document sa Monday agad.",1
The research topic was approved during the meeting.,0
The development phase will begin next week.,0
Kindly i-email yung feedback next week agad.,1
The meeting started at 9 AM.,0
The development phase will begin next week.,0
"Sige, ako na bahala sa system sa susunod na meeting.",1
The coordinator told the team to edit the testing results before the presentation to ensure progress.,1
"Kanina, pinag-usapan natin yung code.",0
The development phase will begin next week.,0
"Pakisuyo po, i-submit yung prototype sa Monday muna.",1
The supervisor asked to ensure you resolve the presentation slides before the next meeting.,1
"Sige, ako na bahala sa code ngayong hapon.",1
The supervisor asked to finish the survey results before class for the project.,1
"Sige, ako na bahala sa feedback before Friday.",1
The supervisor asked to make sure to validate the meeting notes by tomorrow.,1
About sa minutes of meeting is good to go.,0
Ang ui design ay ay tapos na po.,0
Ang report ay ay tapos na po.,0
Please ensure you revise the testing results by tomorrow.,1
The discussion focused on the testing strategy.,0
Please design the presentation slides this week.,1
The meeting concluded that we should ensure you submit the dataset by tomorrow.,1
Please deploy the dataset before submission day to ensure progress.,1
Kindly i-check yung report mamaya muna.,1
Na-check ko na yung module is currently being processed.,0
Ang ui design ay ay na-finalize na natin.,0
The professor asked to ensure you investigate the documentation by tomorrow.,1
"Sige, ako na bahala sa report bukas.",1
"Sige, paki-i-upload yung module before Friday please.",1
Paki-i-review ang report natin bukas.,1
Discussed na natin yung presentation ay okay na.,0
"Kanina, pinag-usapan natin yung schedule.",0
The professor explained the requirements for the project.,0
"Sige, ako na bahala sa testing results sa susunod na meeting.",1
The research topic was approved during the meeting.,0
Please i-test ang ui design natin mamaya.,1
Kindly i-check ang feedback natin ngayong hapon.,1
"Sige, ako na bahala sa prototype before Friday.",1
Discussed na natin yung document ay tapos na po.,0
"Sige, paki-i-prepare yung minutes of meeting by the end of the day please.",1
Naka-upload na yung requirements is currently being processed.,0
The dataset was uploaded to the shared drive.,0
The meeting started at 9 AM.,0
The meeting started at 9 AM.,0
The project manager instructed to deliver the system design before submission day for the project.,1
The project proposal was reviewed by the panel.,0
Ang testing results ay ay okay na.,0
The system update was completed successfully.,0
The team analyzed the feedback from users.,0
"Sige, ako na bahala sa testing results next week.",1
Ang schedule ay ay na-finalize na natin.,0
The project manager instructed to organize the deployment script this week to ensure progress.,1
Our senior advised to organize the meeting notes by tonight to ensure progress.,1
The project proposal was reviewed by the panel.,0
The coordinator told the team to make sure to deliver the user feedback report this week.,1
The supervisor asked to ensure you collect the final thesis chapter before the presentation.,1
"Sige, ako na bahala sa database ngayong hapon.",1
The coordinator told the team to ensure you approve the database schema by tonight.,1
Ang database ay ay tapos na po.,0
"Pakisuyo po, i-finalize yung prototype ngayong hapon muna.",1
The project manager instructed to check the presentation slides by Monday for the project.,1
Discussed na natin yung feedback ay okay na.,0
Ang code ay is good to go.,0
"Kanina, pinag-usapan natin yung requirements.",0
The dataset was uploaded to the shared drive.,0
The professor provided guidance for the methodology section.,0
The dataset was uploaded to the shared drive.,0
Ang slides ay is currently being processed.,0
The project manager instructed to summarize the project proposal before class to ensure progress.,1
The instructor reminded us to create the assignment before the deadline for the project.,1
The professor provided guidance for the methodology section.,0
The team talked about possible improvements for the application.,0
The discussion focused on the testing strategy.,0
Please finish the survey results before Friday for the project.,1
"Kanina, pinag-usapan natin yung report.",0
Our senior advised to present the system design by the end of the month for the project.,1
Our senior advised to make sure to check the meeting summary by the end of the month.,1
Kindly ayusin ang feedback natin as soon as possible.,1
"Pakisuyo po, i-install ang system natin before Friday.",1
The presentation schedule was announced today.,0
Ongoing pa yung code is good to go.,0
The group meeting lasted for two hours.,0
