text,label
Paki-submit ang report bago mag-alas singko.,action_item
I-update mo yung documentation para sa project.,action_item
Pakisabi kay Maria na kailangan natin yung files.,action_item
Gawin mo na yung presentation para sa meeting bukas.,action_item
Siguraduhin na ma-test ang code bago ang deployment.,action_item
Magpadala ka ng email sa client tungkol sa budget.,action_item
Paki-check kung tama ang mga numero sa spreadsheet.,action_item
Ihanda ang mga kagamitan para sa workshop.,action_item
Tapusin ang module na ito bago matapos ang linggo.,action_item
Paki-record ang transcript ng ating usapan.,action_item
Tapos na ang pagpupulong kanina.,information_item
Maayos ang takbo ng ating system.,information_item
Mayroong bagong update sa portal.,information_item
Ang deadline ay sa susunod na buwan pa.,information_item
Nagkaroon kami ng maikling diskusyon tungkol sa features.,information_item
Mabagal ang internet connection sa opisina.,information_item
Ang budget ay sapat para sa buong taon.,information_item
Maraming estudyante ang dumalo sa seminar.,information_item
Mainit ang panahon ngayong araw.,information_item
Ang aming team ay binubuo ng limang miyembro.,information_item
