text,label
Paki-update yung recording ng Google Meet later.,action_item
Don't forget to draft the consultation before the quiz.,action_item
The stakeholders was the main topic of today's discussion.,information_item
I'll share the stakeholders by end of business today.,action_item
The agenda was the main topic of today's discussion.,information_item
Your Teams is a bit unstable right now.,information_item
The professor already uploaded the final exam.,information_item
Please share your attendance on the portal next meeting.,action_item
Can you verify the follow-up meeting for the marketing strategy?,action_item
Please mute your microphone to avoid background noise.,action_item
The meeting is being recorded for documentation.,information_item
Our target for the minutes remains the same.,information_item
The meeting is being recorded for documentation.,information_item
Make sure to draft the attendance for our group project.,action_item
Kindly prepare the assignment to the professor.,action_item
Paki-ayos yung recording ng Teams later.,action_item
Kindly send your camera for the group photo.,action_item
Don't forget to finalize the syllabus before the quiz.,action_item
"Wait lang, naglo-load pa yung breakout room ko.",information_item
We discussed the marketing strategy during the morning stand-up.,information_item
The final exam will cover chapters 1 to 5.,information_item
"Naka-mute ka yata, hindi ka namin naririnig.",information_item
Paki-gawa na yung assignment natin before we end.,action_item
Kindly turn off your camera for the group photo.,action_item
I-pasa mo muna yung Zoom bago tayo mag-start.,action_item
Paki-upload yung recording ng Zoom later.,action_item
The professor already uploaded the midterm.,information_item
The minutes has been approved by the management.,information_item
The stakeholders has been approved by the management.,information_item
I'll verify the minutes by end of business today.,action_item
I can see your screen sharing clearly.,information_item
Can you verify the follow-up meeting for the stand-up meeting?,action_item
The budget proposal has been approved by the management.,information_item
Wala pang update regarding the final exam.,information_item
Kindly check the module to the professor.,action_item
Please send your microphone to avoid background noise.,action_item
I'll submit the agenda by end of business today.,action_item
"Naka-mute ka yata, hindi ka namin naririnig.",information_item
The syllabus is scheduled for next week.,information_item
Please upload the budget proposal for the stakeholders.,action_item
Wala pang update regarding the recitation.,information_item
The budget proposal has been approved by the management.,information_item
The KPI has been approved by the management.,information_item
We discussed the sync during the morning stand-up.,information_item
Medyo mahirap yung consultation na binigay kanina.,information_item
"Wait lang, naglo-load pa yung Teams ko.",information_item
Please check your midterm on the portal later.,action_item
The lecture slides is scheduled for next week.,information_item
We need to update the budget proposal before the board meeting.,action_item
Please finalize your thesis draft on the portal tomorrow.,action_item
The lecture slides will cover chapters 1 to 5.,information_item
Can you turn on your screen to show the signal?,action_item
"Naka-mute ka yata, hindi ka namin naririnig.",information_item
Medyo mahirap yung recitation na binigay kanina.,information_item
Paki-ayos yung recording ng microphone later.,action_item
Kindly mute your camera for the group photo.,action_item
The marketing strategy was the main topic of today's discussion.,information_item
Medyo mahirap yung module na binigay kanina.,information_item
The stand-up meeting has been approved by the management.,information_item
Paki-tapos na yung lecture slides natin ASAP.,action_item
"Naka-mute ka yata, hindi ka namin naririnig.",information_item
"Naka-mute ka yata, hindi ka namin naririnig.",information_item
We need to review the marketing strategy before the board meeting.,action_item
We need to prepare the quarterly report before the board meeting.,action_item
The quarterly report was the main topic of today's discussion.,information_item
We need to check the stakeholders before the board meeting.,action_item
Can you update the follow-up meeting for the marketing strategy?,action_item
Kindly submit the minutes of the stand-up meeting sync.,action_item
"Wait lang, naglo-load pa yung camera ko.",information_item
Don't forget to organize the final exam before the quiz.,action_item
The consultation is scheduled for next week.,information_item
Can you draft the follow-up meeting for the action plan?,action_item
We need to review the marketing strategy before the board meeting.,action_item
The meeting is being recorded for documentation.,information_item
"Naka-mute ka yata, hindi ka namin naririnig.",information_item
"Team, please organize your agenda updates in the shared doc.",action_item
Wala pang update regarding the final exam.,information_item
You should submit the assignment to get a higher grade.,action_item
Medyo mahirap yung group project na binigay kanina.,information_item
The professor already uploaded the assignment.,information_item
Naka-post na yung midterm sa classroom.,information_item
"Wait lang, naglo-load pa yung breakout room ko.",information_item
The consultation will cover chapters 1 to 5.,information_item
Our target for the minutes remains the same.,information_item
Our target for the action plan remains the same.,information_item
"Team, please finalize your sync updates in the shared doc.",action_item
Kindly fix the minutes of the minutes sync.,action_item
The Google Meet link was sent via email.,information_item
The KPI has been approved by the management.,information_item
Can you send your screen to show the mute?,action_item
You should finalize the quiz to get a higher grade.,action_item
We discussed the stakeholders during the morning stand-up.,information_item
Naka-post na yung midterm sa classroom.,information_item
Your Teams is a bit unstable right now.,information_item
The professor already uploaded the group project.,information_item
Please unmute the meeting link to those who haven't joined.,action_item
Our target for the KPI remains the same.,information_item
"Wait lang, naglo-load pa yung microphone ko.",information_item
Please upload your submission portal on the portal before we end.,action_item
Please send your recitation on the portal by 5pm.,action_item
Wala pang update regarding the attendance.,information_item
Paki-update na yung lecture slides natin this afternoon.,action_item
Make sure to send the module for our group project.,action_item
The submission portal will cover chapters 1 to 5.,information_item
Our target for the action plan remains the same.,information_item
Please finalize the marketing strategy for the stakeholders.,action_item
The agenda is now available for review.,information_item
The midterm is scheduled for next week.,information_item
The meeting is being recorded for documentation.,information_item
Wala pang update regarding the midterm.,information_item
Please send your microphone to avoid background noise.,action_item
Wala pang update regarding the syllabus.,information_item
Your connection is a bit unstable right now.,information_item
Please verify your assignment on the portal ASAP.,action_item
Don't forget to finalize the syllabus before the quiz.,action_item
The agenda has been approved by the management.,information_item
Kindly organize the consultation to the professor.,action_item
Don't forget to organize the submission portal before the quiz.,action_item
Paki-ayos yung recording ng Zoom later.,action_item
Wala pang update regarding the lecture slides.,information_item
Don't forget to draft the group project before the quiz.,action_item
The submission portal is scheduled for next week.,information_item
Please draft the sync for the stakeholders.,action_item
I'll review the agenda by end of business today.,action_item
"Team, please share your quarterly report updates in the shared doc.",action_item
Our target for the sync remains the same.,information_item
You should share the group project to get a higher grade.,action_item
Naka-post na yung assignment sa classroom.,information_item
Please submit the partnership for the stakeholders.,action_item
The stakeholders is now available for review.,information_item
I'll fix the action plan by end of business today.,action_item
Please turn off the meeting link to those who haven't joined.,action_item
"Team, please submit your sync updates in the shared doc.",action_item
The recording link was sent via email.,information_item
You should upload the attendance to get a higher grade.,action_item
I-update mo muna yung breakout room bago tayo mag-start.,action_item
Your recording is a bit unstable right now.,information_item
The action plan is now available for review.,information_item
You should update the attendance to get a higher grade.,action_item
The sync has been approved by the management.,information_item
The marketing strategy has been approved by the management.,information_item
Please upload the minutes for the stakeholders.,action_item
We discussed the minutes during the morning stand-up.,information_item
I can see your screen sharing clearly.,information_item
The stand-up meeting has been approved by the management.,information_item
Paki-submit na yung thesis draft natin before we end.,action_item
"Team, please submit your agenda updates in the shared doc.",action_item
Wala pang update regarding the syllabus.,information_item
I-tapos mo muna yung Zoom bago tayo mag-start.,action_item
Can you unmute your screen to show the screen sharing?,action_item
The final exam will cover chapters 1 to 5.,information_item
Paki-gawa na yung quiz natin ASAP.,action_item
Please unmute your microphone to avoid background noise.,action_item
The module will cover chapters 1 to 5.,information_item
Please mute the meeting link to those who haven't joined.,action_item
Please turn off the meeting link to those who haven't joined.,action_item
"Wait lang, naglo-load pa yung connection ko.",information_item
Can you send your screen to show the recording?,action_item
Kindly fix the group project to the professor.,action_item
The chat box link was sent via email.,information_item
Please share the meeting link to those who haven't joined.,action_item
Kindly fix the assignment to the professor.,action_item
Can you prepare the follow-up meeting for the marketing strategy?,action_item
Kindly turn on your camera for the group photo.,action_item
